Solution,Count
000101,54
010001,16
010010,8
000011,55
011101,27
111001,11
001100,3
000110,13
010100,6
101101,27
001001,17
110110,9
101110,11
100001,8
011110,16
000000,734
111100,3
110000,4
011000,1
101000,1
